item_id,item_name,price
025075,星太郎超寬條餅-雞汁口味,38
051032,Aime法式布蕾140g,10
064204,Evian依雲天然礦泉水500ml,44
005930,TREVI檸檬氣泡水500ml,48
036605,Paldo乳酸飲料(牛奶),48
007711,TREVI氣泡水500ml,48
059358,韓國樂天大蒜麵包餅70g,54
073425,沛綠雅水蜜桃氣泡水500ml,54
030978,七味唐辛子,62
104712,自然飼好紅殼蛋10入,66
032531,HOUSE佛蒙特辛口咖哩,162
015199,HOUSE佛蒙特甘口咖哩,162
031309,曾拌麵香蔥椒麻4入,168
036523,宰源激安殿堂竹鹽海苔54g,210
000326,濱田鐵.膠原威化餅40枚,210
065036,超極光精華水粉餅盒,500
065552,資生堂超進化持久粉餅盒,500
001181,一蒟兩得潔面慕絲,900
019729,香奈兒COCO晶亮水唇膏-#90日光,1350
079073,香奈兒COCO晶亮水唇膏-#97春光,1350
023440,香奈兒COCO晶亮水唇膏-#152 震動,1350
063819,香奈兒超炫耀釉光唇萃 -#75忠實,1350
066578,香奈兒COCO星綻唇膏- #124奇蹟,1350
051579,香奈兒COCO星綻唇膏- #118璀璨,1350
105678,香奈兒超炫耀釉光唇萃 -#63極致,1350
027353,KIEHL’S 超彈潤微導保濕水精華-50ml,2000
013401,超淨化植萃調理淨膚精萃 30ML,2000
101550,清柔卸妝乳,2000
104430,零粉感超持久粉底SPF38/PA+++-PO01,2000
005622,零粉感超持久粉底SPF38/PA+++-BO02,2000
084616,零粉感超持久粉底SPF38/PA+++-BO01,2000
026595,SK-II 全效活膚潔面乳 120g,2210
025183,迪奧逆時能量超彈,2600
031240,粉保濕水啵啵妝前,1800
036442,迪奧逆時能量奇肌,3400
042026,超未來肌因賦活露-50ml,4100
012701,丸龜3食手打讚歧烏龍麵450g,138
098900,屏大薄鹽醬油膏300ml,133
063367,格力高9袋入POCKY巧克力棒133.2g,154
054498,齊藤咖啡店-神戶原味咖啡80g,194
060941,四國讚岐烏龍麵5食,194
068229,義MNTV橄欖油,348
047218,激光極淨白淡斑精華-50ML,3200
029754,SK-II 肌活能量輕盈活膚霜-80g,5200
026368,冰河醣蛋白保濕霜-50ml,1350
050140,冰河醣蛋白吸油水感凝凍 -50ML,1350
006799,晶緻活膚乳液,2730
023006,資生堂紅妍超導循,3950
089698,活力光采雪紡水潤粉餅-#10 明亮,2450
105348,粉持久超級水粉餅空盒,550
030829,粉嫩慾望撫紋修護精華,1100
084606,紫鳶青春肌活露 200ml,1750
064582,無極限持妝輕蜜粉,1750
011551,21母  超極光水入門組 (TW),3500
080081,21AN 超極光活粹晶露組 (TW),3500
013027,全能奇蹟金萃乳液 75ml,3500
082647,晶鑽潤色護唇組,2200
040707,香奈兒山茶花保濕微導入精華液50ml,4700
106285,石橋屋手造熟成蒟蒻板250g,96
053142,丸萬信州味噌,155
062907,Natori起士魚板條256g,155
106126,香川讚歧5食烏龍麵,155
092151,齊藤神戶咖啡(香醇)80g,195
048625,齊藤咖啡店-神戶摩卡咖啡80g,195
091982,日清零膽固醇菜籽油900ml,258
076344,ST慕斯馬桶清潔劑薄荷香,205
046394,日清麵王5食包麵-豚骨風味,235
001678,一番5食包麵(鹽),235
081656,日清元祖雞拉麵5入,235
039282,日清麵王5食包麵-豚骨醬油味,235
015643,日清麵王5食包麵-柚子鹽風味,235
043885,Enaak香辣點心麵420g,390
018006,迪奧超完美持久氣墊蜜粉-# 010,2200
074206,致青春無敵回饋組,6500
048552,超微米毛孔潔淨慕斯150ml,1050
009861,資生堂完美水潤卸粧乳,1050
000712,植萃藍鑽修護雲朵霜- 50ml,2100
036976,超活酵青春精釀露-100ml,2100
042932,迪奧雪晶靈潤色隔,2100
052769,香奈兒1號紅色之水-100ml,4200
002066,Chance ET 粉紅甜蜜版,3500
003472,SK-II 青春露 230ml,6250
006960,讚岐素麵800g,195
075024,四葉特選鮮乳1000ml,214
021097,超極光精華水粉餅,500
012782,自動武士刀眉筆 (筆蕊)-暗棕,750
009030,一蘭拉麵捲麵(5入盒裝)660G,750
098240,酪梨精萃修護保濕面膜 100g,1500
012495,輕薄型蜜粉-透色,1500
091156,鑽石光蜜粉,1500
087471,激光極淨白機能水-200ml,1500
029768,超未來肌因活性安,3000
037283,超未來肌因活性安瓶-20ml,3000
100562,全效抗痕 亮采賦活乳(豐潤型),3000
013263,驅黑淨白露 V,3000
057107,香奈兒1號紅色山茶花活能精萃-50ML,4980
067726,香奈兒CHANCE粉紅甜蜜香水-50ml,4180
063541,日東皇家奶茶包(280g),279
089516,時尚化妝刷清潔劑,650
038595,活力水噴霧_柔霧,950
026381,香奈兒COCO持色潤唇膏-#920蜜蘋果,1310
067656,香奈兒COCO持色潤唇膏-#914焦糖,1310
014691,香奈兒COCO持色潤唇膏-#918蜜桃,1310
103036,激透光明肌乳,1950
020199,激抗痕亮采緊緻抗皺精華乳,3900
089423,精萃再生花蜜玫瑰,3900
003172,迪奧超完美水潤光,2350
051343,裸光蜜粉餅,1350
077734,青春敷面膜6片,2750
083969,超未來肌因賦活露-75ml,5500
035133,香奈兒嘉柏麗琉金香水-100ml,6270
083440,光泉原味豆漿450ml,13
051035,R45光泉-薏仁米漿,14
015713,伊藤園蜜桃紅茶535ml,28
044589,伊藤園蘋果紅茶535ml,28
061262,伊藤園濃味綠茶530ml,28
085414,伊藤園綠茶530ml,28
088020,綠優格(微糖)320ml,33
083532,聖沛黎洛氣泡礦泉水500ml,52
099537,大分綠茶490ml,63
050254,蒲島三角飯友(蔬菜)45g,63
038839,蒲島三角飯友(蝦仁)45g,63
053436,永谷園炒飯料(蝦子)21g,63
